Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft,Floor_Level,Property_Age,Nearby_Amenities
800,3,2,Semi-Furnished,Rohini Sector 25,1,6500000,Ready_to_move,New_Property,Builder_Floor,8125,3rd Floor,10-20 years,Near Metro
750,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,Apartment,6666.666667,2nd Floor,20+ years,None
950,2,2,Furnished,"Citizen Apartment, Rohini Sector 13",1,15500000,Ready_to_move,Resale,Apartment,16315.78947,Penthouse,5-10 years,Near Mall
600,2,2,Semi-Furnished,Rohini Sector 24,1,4200000,Ready_to_move,Resale,Builder_Floor,7000,1st Floor,20+ years,Near Mall
650,2,2,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1,6200000,Ready_to_move,New_Property,Builder_Floor,9538.461538,Penthouse,20+ years,Near Hospital
1300,4,3,Semi-Furnished,Rohini Sector 24,1,15500000,Ready_to_move,New_Property,Builder_Floor,11923.07692,3rd Floor,5-10 years,Near Hospital
1350,4,3,Semi-Furnished,Rohini Sector 24,1,10000000,Ready_to_move,Resale,Builder_Floor,7407.407407,Penthouse,5-10 years,Near Park
650,2,2,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1,4000000,Ready_to_move,New_Property,Apartment,6153.846154,2nd Floor,10-20 years,Near Hospital
985,3,3,Unfurnished,Rohini Sector 21,1,6800000,Almost_ready,New_Property,Builder_Floor,6903.553299,Penthouse,0-5 years,Near Park
1300,4,4,Semi-Furnished,Rohini Sector 22,1,15000000,Ready_to_move,New_Property,Builder_Floor,11538.46154,2nd Floor,10-20 years,Near Hospital
1100,3,2,Semi-Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,Builder_Floor,5636.363636,3rd Floor,5-10 years,None
870,3,2,Semi-Furnished,Rohini Sector 25,1,7700000,Ready_to_move,New_Property,Builder_Floor,8850.574713,Penthouse,0-5 years,Near Metro
630,2,2,Semi-Furnished,Rohini Sector 24,1,5500000,Ready_to_move,New_Property,Builder_Floor,8730.15873,2nd Floor,0-5 years,None
660,2,2,Semi-Furnished,Rohini Sector 24,1,5000000,Ready_to_move,Resale,Builder_Floor,7575.757576,1st Floor,0-5 years,Near Mall
